Date,Return,Portfolio
2012-01-03,0.022776974239373544,1.0205268648960468
2012-02-02,-0.04009303603390594,0.9774557006702386
2012-03-05,0.09913568890671824,1.0719928607531315
2012-04-04,-0.04521291393760618,1.021273184930616
2012-05-08,0.036862377537938563,1.0565901192090872
2012-06-07,0.024183890878085607,1.0797618656803225
2012-07-06,0.01876997827998697,1.0976089087073178
2012-08-06,0.031666946084927955,1.1298756238138372
2012-09-07,0.08060011957275018,1.218257657980338
2012-10-10,0.025905055980432613,1.2470670940891297
2012-11-12,0.0167678020447811,1.265188117389206
2012-12-14,-0.01655445309608795,1.2415062840780657
2013-01-16,-0.02621708031310858,1.2062979073681
2013-02-14,0.03202795210629693,1.2421943060214748
2013-03-15,-0.024819682464165424,1.2086984382240957
2013-04-17,0.07011121482135926,1.2905961822216894
2013-05-21,-0.016232231880469145,1.2668537024912174
2013-06-19,0.032607415335697276,1.305284569777771
2013-07-18,-0.10665773786555288,1.1635005253798147
2013-08-20,0.08538771334228089,1.2600709065301676
2013-09-19,0.04856941608218625,1.3183650166901877
2013-10-22,0.054410045562823514,1.3870391032186367
2013-11-22,0.07535684012092456,1.488280550789599
2013-12-23,0.01305830357725907,1.5043979970958743
2014-01-23,0.03415062462579469,1.5523514253000517
2014-02-24,0.01972000743744512,1.5794812865772017
2014-03-27,0.08764805884102359,1.7141403318597088
2014-05-02,0.13336924277216244,1.9384798712792264
2014-06-02,0.006838733107719449,1.9474427971945336
2014-07-01,0.0018507780135203849,1.9467547779268564
2014-07-31,0.0380565829507701,2.0163957610700787
2014-09-02,0.0001680434717337642,2.012297787087087
2014-10-01,0.02762459320734184,2.0633373441386937
2014-11-11,0.0074824904599883725,2.0742029383904588
2014-12-10,-0.004701441876378648,2.0599094012093633
2015-01-12,0.10257590573827917,2.2662098195349
2015-02-11,-0.009094826551643582,2.240658716421146
2015-03-16,-0.02275837559999556,2.1848477008411544
2015-04-20,0.011643250227014613,2.2054237991854397
2015-05-20,-0.12344246518308347,1.9289278507735383
2015-06-18,0.08935340485873591,2.09666129689867
2015-07-17,0.002590737670871737,2.097468591271737
2015-08-17,-0.035283101922088125,2.019011773722505
2015-09-15,0.052342635948757474,2.1200178491923816
2015-10-19,-0.08115032923455454,1.9436921518012433
2015-11-20,0.010110758534906974,1.9590249962359079
2015-12-22,0.0014151636941388784,1.9574813831444613
