Date,Return,Portfolio
2012-01-03,0.022776974239373544,1.0023453729792093
2012-02-02,-0.04009303603390594,0.9921204816376296
2012-03-05,0.09913568890671824,1.009565450062282
2012-04-04,-0.02106058646473572,1.003101353279375
2012-05-08,0.036862377537938563,1.0377898823538165
2012-06-07,0.024183890878085607,1.040515261035685
2012-07-06,0.01876997827998697,1.0421236238338394
2012-08-06,0.031666946084927955,1.046416605999412
2012-09-07,0.08060011957275018,1.060945640005937
2012-10-10,0.025905055980432613,1.0640962379405075
2012-11-12,0.0167678020447811,1.070656876943648
2012-12-14,-0.01655445309608795,1.064764402625281
2013-01-16,-0.02621708031310858,1.0568512007739699
2013-02-14,0.03202795210629693,1.0714132842955966
2013-03-15,-0.024819682464165424,1.063749448109827
2013-04-17,0.07011121482135926,1.0762925370014198
2013-05-21,-0.016232231880469145,1.065208596097139
2013-06-19,0.032607415335697276,1.0697965941805347
2013-07-18,-0.10665773786555288,1.0446728296482968
2013-08-20,0.08538771334228089,1.0601757452673557
2013-09-19,0.04856941608218625,1.109222192862737
2013-10-22,0.054410045562823514,1.167001957865279
2013-11-22,0.07535684012092456,1.252182662041724
2013-12-23,0.01305830357725907,1.252690941844469
2014-01-23,0.03415062462579469,1.2926210835075955
2014-02-24,0.01972000743744512,1.294864200781145
2014-03-27,0.08764805884102359,1.3146640296448557
2014-05-02,0.13336924277216244,1.3992467725256572
2014-06-02,0.006838733107719449,1.4009424412579192
2014-07-01,0.0018507780135203849,1.4004474971220089
2014-07-31,0.0380565829507701,1.4080023115484344
2014-09-02,0.0001680434717337642,1.4051407915273568
2014-10-01,0.02762459320734184,1.4407805283768993
2014-11-11,0.0074824904599883725,1.4483677203945586
2014-12-10,-0.004701441876378648,1.4383868754732692
2015-01-12,0.10257590573827917,1.5824416644605337
2015-02-11,-0.009094826551643582,1.5760882187997332
2015-03-16,-0.02275837559999556,1.5654627656373106
2015-04-20,0.011643250227014613,1.5802057226899549
2015-05-20,-0.12344246518308347,1.5378022004945426
2015-06-18,0.08935340485873591,1.5618401487165936
2015-07-17,0.002590737670871737,1.560422808494077
2015-08-17,-0.035283101922088125,1.5020544457471285
2015-09-15,0.04377675691484746,1.5118720082035209
2015-10-19,-0.08115032923455454,1.386126894163948
2015-11-20,0.010110758534906974,1.3970613767749032
2015-12-22,0.0014151636941388784,1.3949742022378533
