Date,Return,Portfolio
2012-01-03,0.26785099081932623,1.2650617186395239
2012-02-02,-0.011784095011917026,1.2474037721066042
2012-03-05,0.051868828907578546,1.3092185136218004
2012-04-04,-0.05759792208546839,1.2310958651364603
2012-05-08,0.024162439293460944,1.258068291524918
2012-06-07,0.07866249112545823,1.3540456089720645
2012-07-06,-0.07652692570255411,1.2476737270016256
2012-08-06,-0.006179444361281966,1.2372358762720117
2012-09-07,0.10448160998261444,1.3634979631535453
2012-10-10,-0.004194074086696606,1.3547922371053256
2012-11-12,0.02503499417972327,1.3856542920796646
2012-12-14,0.024077954326395264,1.4158961732082922
2013-01-16,-0.02032149775889521,1.384071371604557
2013-02-14,0.03540271719426718,1.4299185021804643
2013-03-15,0.0009643526369922259,1.428148593473437
2013-04-17,0.036144845685740105,1.476513312632039
2013-05-21,-0.045447010921017064,1.4063094935566505
2013-06-19,0.013951030237841128,1.4227919161134075
2013-07-18,-0.11885281974169806,1.2509309689906847
2013-08-20,0.0,1.2509309689906847
2013-09-19,0.0,1.2509309689906847
2013-10-22,0.0,1.2509309689906847
2013-11-22,0.0,1.2509309689906847
2013-12-23,0.0,1.2509309689906847
2014-01-23,0.0,1.2509309689906847
2014-02-24,0.0,1.2509309689906847
2014-03-27,0.0,1.2509309689906847
2014-05-02,0.0,1.2509309689906847
2014-06-02,0.0,1.2509309689906847
2014-07-01,0.0,1.2509309689906847
2014-07-31,0.0,1.2509309689906847
2014-09-02,0.0,1.2509309689906847
2014-10-01,0.0,1.2509309689906847
2014-11-11,0.0,1.2509309689906847
2014-12-10,0.0,1.2509309689906847
2015-01-12,0.0,1.2509309689906847
2015-02-11,0.0,1.2509309689906847
2015-03-16,0.0,1.2509309689906847
2015-04-20,0.0,1.2509309689906847
2015-05-20,0.0,1.2509309689906847
2015-06-18,0.0,1.2509309689906847
2015-07-17,0.0,1.2509309689906847
2015-08-17,0.0,1.2509309689906847
2015-09-15,0.0,1.2509309689906847
2015-10-19,0.0,1.2509309689906847
2015-11-20,0.0,1.2509309689906847
2015-12-22,0.0,1.2509309689906847
